Name	Sentence	Keywords
Son Goku	"Born under the name Kakarot,}}"	"refn, group, born"
Son Goku	"as a member of the Saiyan race on Planet Vegeta, he is sent to Earth as an infant prior to his homeworld's destruction at the hands of Frieza (ordered by Beerus). Upon his arrival on Earth, the infant is discovered by List of Dragon Ball characters#Grandpa Gohan, who becomes the adoptive grandfather of the boy and gives him the name Goku."	"destruction, beerus, dragon"
Son Goku	"The boy is initially full of violence and aggression due to his Saiyan nature, until an accidental Traumatic brain injury turns him into a cheerful, carefree person."	"injury, boy, initially"
Son Goku	"Grandpa Gohan's kindness and teachings help to further influence Goku, who later on names his first son Gohan in honor of him."	"gohan, grandpa, kindness"
Son Goku	"As the protagonist of Dragon Ball, Goku appears in most of the episodes, films, television specials and Original video animation of the manga's anime adaptations (Dragon Ball (TV series), Dragon Ball Z) and sequels (Dragon Ball GT, Dragon Ball Super), as well as many of the franchise's video games."	"dragon, ball, video"
Son Goku	"Due to the series' international popularity, Goku became one of the most recognizable and iconic manga/anime characters worldwide."	"due, series, international"
Son Goku	"Outside the Dragon Ball franchise, Goku has made cameo appearances in Toriyama's self-parody series Neko Majin, has been the subject of other parodies, and has appeared in special events."	"neko, majin, outside"
Son Goku	"Most Western audiences were introduced to the adult version of Goku featured in the Dragon Ball Z anime, which adapted the final 26 Dragon Ball manga volumes, as opposed to his initial appearance as a child due to the limited success of the first anime series overseas.Yadao, James S. The Rough Guide to Manga."	"dragon, ball, anime"
Son Goku	"Penguin Books, October 1, 2009."	"penguin, books, october"
Son Goku	[https://books.google.com/books?	"books, https, google"
Son Goku	", 9781405384230."	"isbn, 1405384239, 9781405384230"
Son Goku	"Available on Google Books. Goku, and Dragon Ball in general, evolved from one of Akira Toriyama's earlier One-shot (comics) series called Dragon Boy (manga)."	"dragon, one, shot"
Son Goku	"In this story, the protagonist looks similar to Goku, but has a pair of wings.{{cite book author-script-"	"dragon, ball, story"
Son Goku	"1}} The original inspiration were Hong Kong action cinema, including those by Bruce Lee such as Enter the Dragon (1973) and by Jackie Chan such as Drunken Master (1978); Toriyama said he had a young Chan in mind for a live-action Goku, stating that ""nobody could play Goku but him."	"ref, goku, dragon"
Son Goku	"""{{Cite episode trans-"	"title, ref, cite"
Son Goku	"Come forth, Shenlong!"	"come, forth, shenlong"
Son Goku	"Akira Toriyama-sensei, Answers Our Questionnaire!!!!"	"akira, toriyama, sensei"
Son Goku	Special series-author-	"kobayashi, series, link"
Son Goku		"martial, arts, ref"
Son Goku	(Do They Work In Real Life?)	"work, real, life"
Son Goku	access-	"martial, arts, goku"
Son Goku	access-	"characters, goku, introduced"
Son Goku	"In my case, I feel that it isn't good to insert too much narration."	"case, feel, good"
Son Goku	"I suppose Goku and Bulma are representative of that."""	"suppose, goku, bulma"
Son Goku	"He further added that ""as a child, Goku doesn't know anything [of the world], so without Bulma, he'd be a character who didn't say anything."	"anything, added, child"
Son Goku	""" Toriyama mentioned Torishima wanted Goku to form a relationship with Bulma, but this was never applied to the series.Toriyama, Akira (1986)."	"ref, toriyama, journal"
Son Goku	"Dr. Slump, Volume 16."	"slump, volume"
Son Goku	Viz Media.	"viz, media"
Son Goku	p. 130.	130
Son Goku	". With the conclusion of the Cell (Dragon Ball) arc, Gohan was intended to replace his father as the protagonist, but Toriyama later decided that Gohan was unsuitable for the role. According to Toriyama, Goku is more of a selfish person than a hero as his main interest in the story is to fight strong opponents rather than protecting the innocent."	"ref, cell, gohan"
Son Goku	"As a result, Toriyama was angered when the anime adaptations of Dragon Ball started portraying Goku as more heroic than his manga counterpart. Toei kept protraying Goku as heroic figure, especially in the anime sequel Dragon Ball GT where he often rescues his granddaughter Pan as producer Kz Morishita was influenced by the 1997 film Titanic (1997 film). The character Goku is based on Sun Wukong (Son Goku in Japanese),, reads as ""Son Gok®"" in Japanese, hence providing the origin of Goku's name.}}"	"dragon, goku, ref"
Son Goku	the central character of the Chinese novel Journey to the West.{{cite book	"west, central, character"
Son Goku		"title, japanification, children"
Son Goku	This character is a monkey who protects a Buddhist monk from evil monsters in the pilgrimage to India.	"character, monkey, protects"
Son Goku	"Monkey, or Sun Wukong, is a favorite character [...]}} To be creative with the idea of Sun Wukong, Toriyama designed Goku as a human boy with a monkey's tail, rather than a complete simian, because the tail would give the character a distinguishing feature. He later stated that the tail was a pain to draw, hence why he had it get cut off early on. Toriyama did not initially plan to make Goku an Extraterrestrial life, it was not until the introduction of fighters from other planets that he established him as a Saiyan{{refn{{nihongo??æ????Ÿ?„§§Saiya-jinlit."	"ref, toriyama, tail"
Son Goku	"""Saiya Person""}}}}{{refn""Saiya"", an anagram for {{nihongo‚??Š?Yasailit."	"saiya, person, refn"
Son Goku	vegetable}}.	vegetable
Son Goku	"}}. Goku was given the ability to teleport to any planet in seconds, so that Toriyama could increase the pace of the story. Wanting the series to have a Chinese appearance, Toriyama used the color of the robes worn by Buddhist monks for Goku's Keikogi. During the early chapters of the manga, Toriyama's editor Kazuhiko Torishima commented that Goku looked rather plain."	"toriyama, ref, akira"
Son Goku	"Toriyama had given him simple clothes on purpose because it was a fighting manga, so to combat this he added several characters like Master Roshi and Krillin, and created the Tenkaichi Budkai}}"	"refn, group, martial"
Son Goku	to focus the storyline on fighting.	"focus, storyline, fighting"
Son Goku	"To defy the assumption that Goku would win the tournaments, Toriyama made him lose the first and second but win the third. Toriyama's editor was initially against having Goku grow up, saying it was uncommon to have the protagonist drastically change in manga, however, he gave in when Toriyama threatened that he would not be able to continue the series if the character did not. Toriyama later stated he had him grow up as a means to make drawing the fight scenes easier."	"ref, toriyama, goku"
Son Goku	When Toriyama thought up the Super Saiyan??æ????Ÿ?„§§S®pŽ Saiya-jinlit.	"small, toriyama, thought"
Son Goku	"""Super Saiya Person""}}}} concept during the Frieza arc, he felt the only way to show Goku's massive power-up was to have him transform."	"super, saiya, person"
Son Goku	"Initially he was concerned that the facial expression looked like that of a villain, but felt it was acceptable since the transformation was brought about by anger. The Super Saiyan form spared the trouble of coloring Goku's hair all the time for the standard black-and-white manga pages. This was the reason for the Super Saiyan form having blonde hair, because it was easier to draw for Toriyama's assistant who spent a lot of time blacking in Goku's hair."	"ref, toriyama, super"
Son Goku	Goku's piercing eyes in Super Saiyan form were inspired by Bruce Lee's paralyzing glare.{{cite news	"goku, piercing, eyes"
Son Goku	access-archive-archive-url-	"url, https, dragon"
Son Goku	"""{{cite book"	"ref, cite, book"
Son Goku	2: Interview with ƒ??Dragon Ball Zƒ? character designer Tadayoshi Yamamuro script-trans-	"dragon, ball, title"
Son Goku	"Because Super Saiyan 4 is brought about while in a Saiyan's ?zaru}} form, he made the hair more ""wild"" and covered Goku's body in red fur."	"saiyan, super, brought"
Son Goku	"There was only a single final draft of the character, although Nakatsuru did consider making the hair blonde, he ended up choosing black as it provides more contrast with the red fur. During the plans of the final story arc of Dragon Ball Super, it was decided that Goku should have another transformation: The Ultra Instinct."	"final, ref, dragon"
Son Goku	The concept was that the Ultra Instinct would be completely different from Goku's previous Super Saiyan transformations. File:‚??‘ý›‚??†?.png has been Goku's Japanese voice actress in every single piece of Dragon Ball media.]]	"news, web, url"
Son Goku	"In the Japanese version of every Dragon Ball anime series and subsequent related media, Goku has been voiced by Masako Nozawa."	"japanese, version, every"
Son Goku	"Toriyama selected Nozawa upon hearing her audition sample, remarking that only Goku could sound like that. Nozawa stated that she was ecstatic when she got the role because she had always wanted to be in one of Toriyama's works."	"toriyama, akira, dragon"
Son Goku	She said she had to be mindful of the fact that Goku grew up in the mountains and did not know much of the world.	"said, mindful, fact"
Son Goku	"Despite having to voice Goku, Gohan, Goten and Bardock (Dragon Ball), Nozawa says she is able to instantly get into the respective character upon seeing their image. Nozawa explained that she did not read the manga so that she would not know what was coming in the story until recording, making her reactions the same as Goku's. Nozawa said that she liked young Goku with his tail because he was cute, and stated that the character was still the same even at the end of the series. In the numerous English versions, Goku has been played by different actors because different companies produced the dubs, by reason of changes of automated dialogue replacement companies and recording studios, or due to actors quitting: *In Harmony Gold USA's very brief dub of the original Dragon Ball (anime) series, Goku"	"goku, dragon, ball"
Son Goku	"was voiced by Barbara Goodson. *In Funimation's initial dub of the anime, Goku was voiced by Saffron Henderson in the first 13 episodes of the original Dragon Ball series (produced in association with BLT Productions), *In Funimation's in-house dub, Goku was voiced by Stephanie Nadolny as a child in Dragon Ball, Dragon Ball GT, and Dragon Ball Daima, Since Dragon Ball Z#Dragon Ball Z Kai, Colleen Clinkenbeard has voiced Kid Goku for Funimation. *In AB Groupe's dub of the anime produced for Canadian and European broadcast (initially also in association with Ocean Productions and later with Blue Water Studios), Goku was voiced by Peter Kelamis again and later by Kirby Morrow in episodes 123-291 of Dragon Ball Z, by Zoe Slusar as a child in both Dragon Ball and Dragon Ball GT, by Jeffrey Watson (actor) as an older teen in Dragon Ball, and by Jeremiah Yurk as an adult and Super Saiyan 4 in GT. *In [[Bang Zoom!"	"dragon, ball, ref"
Son Goku	"EntertainmentBang Zoom]]'s dub of the first 27 episodes of Dragon Ball Super produced for Toonami's broadcast, Goku was voiced by Lex Lang. [[File:Weekly Shnen Jump No."	"dragon, ball, toonami"
Son Goku	51 (Dec. 1984) is the first appearance of Goku.	"dec, 1984, first"
Son Goku	Cover art by Akira Toriyama.jpgthumbuprightThe cover of Weekly Shnen Jump No.	"cover, art, akira"
Son Goku	"51, 1984 featuring Goku and Bulma in their first appearances]] Goku first appears in Dragon Ball as a monkey-tailed child adopted by the hermit martial artist List of Dragon Ball characters#Grandpa Gohan."	"goku, first, dragon"
Son Goku	"Before the series' narrative begins, he accidentally and unknowingly kills Gohan when he temporarily transforms into the mighty ?zaru after staring at a full moon."	"series, narrative, begins"
Son Goku	"Goku loses the ability when his friends cut off his tail. Living alone with an item known as a Dragon Ball which he keeps as a memento of Gohan, Goku befriends a teenage girl named Bulma."	"goku, ref, toriyama"
Son Goku	"He joins her to find the seven Dragon Balls, which, when gathered, summon the wish-granting dragon Shenlong (Dragon Ball)."	"dragon, joins, find"
Son Goku	"They encounter the desert bandit Yamcha and two Shapeshifting named Oolong (Dragon Ball) and Pu'ar, who join their quest."	"oolong, encounter, desert"
Son Goku	"Goku is later trained by the martial artist Master Roshi, alongside a monk named Krillin, who later becomes his best friend."	"later, goku, trained"
Son Goku	"It is Roshi who gives Goku the magic cloud Kinto'un}}{{refnRenamed to ""Flying Nimbus"" in Funimation's dub."	"cloud, refn, group"
Son Goku	"}}, as a reward for saving his pet sea turtle, which becomes Goku's primary source of flight travel across the world."	"reward, saving, pet"
Son Goku	"Goku's first shown martial arts attack as a child is Jan ken}}, three physical blows modeled after the hand signs in rock-paper-scissors.{{cite book author-script-script-"	"jan, toriyama, akira"
Son Goku	"}} As a child, he wields the Nyoi-b}}{{refnRenamed to ""Power Pole"" in Funimation's dub."	"refn, group, ref"
Son Goku	"}}, a magic staff that extends and retracts on command, given to him by his grandfather. Goku's signature attack is the Kamehameha (named after King Kamehameha I of Hawai'i), which he learned from Roshi. The Kamehameha is a concentration of Qi, released as a concussive beam."	"ref, akira, toriyama"
Son Goku	"Roshi spent about 50 years developing and perfecting the technique, but, as a child, Goku is able to understand and copy the technique immediately after only one demonstration."	"technique, roshi, spent"
Son Goku	"After training with the Earth's Guardian, Kami (Dragon Ball), Goku learns to fly by virtue of the technique Buk®-jutsu}} and uses the Nimbus cloud less frequently for flight travel."	"kami, technique, training"
Son Goku	"While participating in the World Martial Arts Tournament that attracts the most powerful fighters in the world, Goku battles foes, later turned allies, such as Tien Shinhan and Chiaotzu, as well as the Namekian Piccolo (Dragon Ball)."	"world, piccolo, participating"
Son Goku	"After becoming the runner-up champion of the 21st and 22nd tournaments, Goku wins in the 23rd with Piccolo's defeat, and marries Chi-Chi (Dragon Ball) soon after to fulfill a promise he made to her years ago despite not knowing what marriage was."	"chi, becoming, runner"
Son Goku	"File:Three Super Saiyan Stages of Son Goku.PNG Five years later, Goku meets his evil older brother Raditz and learns about his heritage. Goku comes from a race of nearly extinct extraterrestrials called Saiyans, himself having been sent from their home planet to prepare Earth for sale on the intergalactic market by destroying all its life. While Grandpa Gohan was taking care of him, Goku accidentally fell into a deep ravine and suffered a severe head injury, which caused him to forget his mission and drastically altered his personality. After Raditz kidnaps Goku's son Gohan, he forms a truce with Piccolo in order to defeat Raditz."	"ref, goku, toriyama"
Son Goku	"After sacrificing his life during the battle, Goku trains with King Kai in the Other World."	"sacrificing, life, battle"
Son Goku	"He teaches Goku the Kai-ken}}, which multiplies his energy and strength but with possible strain to the body. It is from King Kai that Goku learns his most powerful attack: the Genki-Dama}}{{refnRenamed to ""Spirit Bomb"" in Funimation's dub."	"refn, group, goku"
Son Goku	"}}, an energy sphere created by gathering energy from surrounding animals, nature and humans. After being revived by the Dragon Balls, Goku faces off with the Saiyan prince Vegeta, who eventually becomes his greatest rival and another ally."	"energy, ref, script"
Son Goku	"On his journey to Planet Namek in order to aid his friends in gathering the Namekian Dragon Balls to revive those killed by the Saiyans, Goku fights the galactic tyrant Frieza, who destroyed the Saiyans' home planet and nearly the entire race."	"planet, saiyans, journey"
Son Goku	"During his epic battle with Frieza, Goku becomes the first Saiyan in a thousand years to transform into a fabled Super Saiyan.<!."	"saiyan, toriyama, akira"
Son Goku	"--> After defeating Frieza and escaping the destruction of Namek, Goku learns a teleportation skill called Shunkan Id}}{{refnRenamed to ""Instant Transmission"" in Funimation's dub."	"refn, group, ref"
Son Goku	"}}, taught by the inhabitants of the planet Yardrat. Goku contracts a heart virus whereof the time-traveler Trunks (Dragon Ball) warns him, but recovers after taking medicine provided by Trunks."	"trunks, ref, toriyama"
Son Goku	Goku trains Gohan to be his successor and sacrifices himself again during the battle against the evil bio-android Cell (Dragon Ball).	"cell, goku, trains"
Son Goku	Goku is temporarily resurrected on Earth seven years later and meets his second son Goten.	"goku, temporarily, resurrected"
Son Goku	"}}{{refn""Vegerot"" in Viz Media's manga translation."	"refn, group, nihongo4"
Son Goku	}} Goku battles Vegeta again after Vegeta willingly falls under the control of the wizard Babidi in order to gain power.	"ref, shueisha, toriyama"
Son Goku	"Shortly after, he is drawn into a battle for the universe against the monster Majin Buu."	"shortly, drawn, battle"
Son Goku	"Despite having mastered two new Super Saiyan transformations, Goku prepares Goten and Trunks to take his place as Earth's defender."	"despite, mastered, two"
Son Goku	"After his life is fully restored, Goku attempts to fuse with Gohan in order to defeat Buu, but this fails when the latter is temporarily absorbed by Buu and so he persuades the newly arrived Vegeta to fuse with him, creating Vegito."	"fuse, buu, life"
Son Goku	"}}{{refn""Vegerot"" in Viz Media's manga translation."	"refn, group, nihongo4"
Son Goku	"}} Later when the Fusion technique is abandoned on both sides, Goku destroys Buu with a Spirit Bomb attack."	"ref, name, shueisha"
Son Goku	"Ten years later, during another World Martial Arts Tournament, Goku meets Uub (Dragon Ball), Buu's human reincarnation, and leaves with him, intending to train him as the new protector of Earth.{{cite episode"	"uub, ten, years"
Son Goku	Goku's Dream is Super-Huge	"dragon, ball, goku"
Son Goku	"An alternative, more innately powerful form known as the Super Saiyan God??æ????Ÿ?„§§????ŸŸ?Ÿ?S®pŽ Saiya-jin Goddo}}}} is reached by Goku during this film."	"small, alternative, innately"
Son Goku	"Though the temporary transformation wears off, Goku manages to harness its godly powers."	"though, temporary, transformation"
Son Goku	"In its sequel film Dragon Ball Z: Resurrection 'F, Goku manages to achieve a blue-haired evolution of Super Saiyan God under Whis's tutelage, known as the Super Saiyan God Super Saiyan??æ????Ÿ?„§§????ŸŸ?Ÿ?S®pŽ Saiya-jin Goddo S®pŽ Saiya-jin}}}}, or ""Super Saiyan Blue"" for short, which Goku uses to battle the newly revived Frieza. These forms appear in Dragon Ball Super and its manga tie-in, which expand upon the stories from the two films."	"super, saiyan, resurrection"
Son Goku	"Afterwards, Goku and his friends participate in a fighting tournament set between Beerus and his brother Champa, who is Universe 6's God of Destruction, facing the best warriors from Champa's universe."	"champa, universe, afterwards"
Son Goku	"During this tournament, Goku reveals that he has learned to combine the perfect energy control of his Super Saiyan Blue form with his older technique, the Kai-ken."	"tournament, goku, reveals"
Son Goku	"After meeting with the omnipotent being known as Grand Zeno, Goku encounters an evil alternate version of himself called ""Goku Black"", who is terrorizing Future Trunks' timeline."	"goku, meeting, omnipotent"
Son Goku	"Black is eventually revealed to be a rogue Supreme Kai in training named Zamasu, who has stolen Goku's body from yet another alternate timeline and teamed up with the Zamasu of Future Trunks' timeline to fulfill their ""Zero Mortals Plan""."	"zamasu, timeline, black"
Son Goku	"After Zamasu and Black become even more dangerous by undergoing Potara Fusion during the battle in Future Trunks' timeline, Goku ultimately summons the future version of Grand Zeno who erases Zamasu."	"zamasu, future, black"
Son Goku	Goku causes the Zenos to decide to hold a multi-universal martial arts tournament with the losing universes wiped from existence; the Tournament of Power}}.{{cite episode	"tournament, goku, causes"
Son Goku	Goku Goes To See Freeza!	"goku, goes, see"
Son Goku	!	"series, dragon, ball"
Son Goku	It is during his fights with Jiren that Goku acquires a temporary transformed state using a divine technique known as Migatte no Goku'i.	"goku, fights, jiren"
Son Goku	"}} Ultimately, Goku and Frieza manage to work together to force Jiren out of bounds in a triple elimination, leaving Android 17 as the winner who uses his wish on the Super Dragon Balls to restore the erased universes.{{cite episode"	"refn, group, nihongo4"
Son Goku	"Farewell, Goku!"	"farewell, goku"
Son Goku	Until We Meet Again!	"dragon, ball, super"
Son Goku	"His birth parents are List of Dragon Ball characters#Bardock, a low-class Saiyan mercenary, and Gine, the owner of a butcher shop."	"bardock, birth, parents"
Son Goku	"Bardock has a strong suspicion that Frieza is up to something when he receives an order on his scouter for all Saiyans to return home, so he convinces Gine to send their infant son in a space pod to Earth."	"bardock, strong, suspicion"
Son Goku	"In the present, following the events of the Tournament of Power, Goku and Vegeta encounter another Saiyan survivor named Broly, whom Frieza has recruited to defeat them."	"present, following, events"
Son Goku	"When Broly proves to be too powerful for either of them to handle individually, Goku and Vegeta use the Metamoran Fusion Dance, which creates Gogeta."	"broly, proves, powerful"
Son Goku	"}} Gogeta almost defeats his opponent, but Broly's allies teleport him back to the barren planet he grew up on."	"refn, group, nihongo4"
Son Goku	"Goku teleports to this planet as well to provide Broly and his two friends with survival supplies, hoping to be able to spar with Broly again someday. In the manga, directly after the final scene of Broly, Goku and Vegeta meet Galactic Patrol by Jaco and a mysteriously highly skilled agent named Merus in order to help stop an ancient warlock called Moro."	"broly, web, url"
Son Goku	"With Moro headed to New Namek to use the Namekian Dragon Balls, the two Saiyans travel to the planet to stop him, where they are defeated by him using his magic to drain their life essences until near death."	"moro, headed, new"
Son Goku	"Once recovered, they attempt to go after Moro again, but he escapes from them, Merus and (the also conscripted) Majin Buu with the help of his accomplice Cranberry (who he kills) in order to wish upon the Dragon Balls to free all the Galactic Prison prisoners."	"recovered, attempt, moro"
Son Goku	"After a few days, Goku hears from Merus that Moro has grown even stronger and is unstoppable."	"days, goku, hears"
Son Goku	This leads to Goku asking Merus to help train him to master the Ultra Instinct technique so he can defeat Moro.	"leads, goku, asking"
Son Goku	Goku helps his friends take out Moro's forces before he comes face-to-face with Moro again.	"moro, face, goku"
Son Goku	"When Moro fuses with Seven-Three, he and his allies are soundly defeated and mortally wounded."	"moro, fuses, seven"
Son Goku	"Goku achieves the full power of ""Ultra Instinct"" once more, which he uses to debilitate Moro to near-death."	"goku, achieves, full"
Son Goku	"Even after healing him with a Senzu bean, he is unfazed by his ensuing sneak attack, unsuccessfully attempting to convince him to reconsider his ways and go back to prison, and him using a stray severed arm with Merus's copied power to obtain Ultra Instinct for himself, Goku continuously outmatches Moro."	"even, healing, senzu"
Son Goku	"Ultimately, with the help of his friends and family, along with key assistance from Buu/Grand Supreme Kai and Uub unknowingly contributing divine power, Goku manages to finish off Moro and save the Earth once more. He, Vegeta, Buu and Jaco then reunite with a now-mortal Merus to be honoured as heroes by the Galactic Patrol."	"buu, ref, toriyama"
Son Goku	"Much later, Goku and Vegeta are contacted by a group of beings called the Heeters, on a seemingly imperative mission to defeat a surviving member of the now-extinct sharpshooting Cerealean race; Granolah."	"much, later, goku"
Son Goku	"Blinded by his desire for revenge, Granolah confronts Goku and defeats him, as Goku's Ultra Instinct turns out to be taxing to his body and loses its accuracy as he keeps fighting."	"goku, blinded, desire"
Son Goku	The fight is later revealed to be a ruse by the Heeters to eliminate Granolah and the Saiyans from the Heeters' plot to assassinate Frieza and achieve universal conquest.	"heeters, fight, later"
Son Goku	"He is later rescued by the last Namekian on the planet Cereal, Monaito, who hides them in his home after a disastrous battle with the Heeter warrior Gas, who wishes absolute power using the planet's Dragon Balls."	"planet, later, rescued"
Son Goku	"Monaito reveals the identity of his father, Bardock, and the story of his actions in keeping him and the young Granolah safe from the Heeters a long time ago."	"monaito, reveals, identity"
Son Goku	"Moved by the story, Goku and Vegeta finally find resolve about the meaning of the Saiyan race's pride, and later confront Gas for a second round."	"moved, story, goku"
Son Goku	"Goku stalls him by teleporting across random locations within the cosmos via Shunkan Id with Gas tailing him, in an effort to give Granolah time to regain his power."	"goku, stalls, teleporting"
Son Goku	"Remembering Whis' advice about finding one's true and personal Ultra Instinct, Goku later molds his own version of the technique, using his emotions as freely as he pleases. Despite this, he and Vegeta are ultimately bested, even after Granolah inflicted his deadliest sniping shot towards the villain with Goku's assistance, but are saved by Frieza's unexpected arrival."	"goku, ref, toriyama"
Son Goku	"Frieza kills Gas and Elec, the Heeter leader and mastermind of the coup, in swift succession, before unveiling a new transformation and demonstrating his new powers by knocking Goku and Vegeta out of their empowered forms in one quick strike."	"new, frieza, kills"
Son Goku	He spares the duo before making his leave.	"spares, duo, making"
Son Goku	"In the film Dragon Ball Super: Super Hero, Goku does not play the role of protagonist, as he and Vegeta train on Beerus' domain, accompanied by newcomer Broly, and his companions from the previous film."	"super, dragon, ball"
Son Goku	He spars with Vegeta without any transformations or ki techniques except for flight.	"spars, vegeta, without"
Son Goku	"Back on Earth, Piccolo is forced to deal with the reinvigorated Red Ribbon Army with Gohan as his only best defense for Earth against the army's threat, as Bulma is unable to contact Goku and Vegeta because Beerus' ice cream container accidentally obstructed Whis' angelic staff."	"earth, army, back"
Son Goku	"In the post-credits scene, tired and exhausted, Goku falls down from Vegeta's weak last punch, admitting defeat as his rival celebrates his triumph."	"post, credits, scene"
Son Goku	"In the anime-only sequel series Dragon Ball GT, Goku is transformed back into a child by an accidental wish made by his old enemy Pilaf (Dragon Ball) using the Black Star Dragon Balls while Pilaf was about to wish to take over the world.{{cite episode"	"dragon, pilaf, ball"
Son Goku	Goku Becomes A Child!	"goku, becomes, child"
Son Goku	?	"dragon, ball, pan"
Son Goku	"After acquiring the Super Saiyan 4 transformation, Goku battles the evil Tuffle Baby (Dragon Ball), Android 17, and the evil Shadow Dragons."	"super, evil, baby"
Son Goku	"His final challenge is against List of Dragon Ball characters#Shadow Dragons, whom he destroys using the Spirit Bomb.{{cite episode"	"final, challenge, list"
Son Goku	Goku Saves The Universe	"goku, saves, universe"
Son Goku	"He appears 100 years later at the next World Martial Arts Tournament as an adult, where he watches a battle between Goku Jr., his descendant, and Vegeta Jr., Vegeta's descendant."	"descendant, vegeta, appears"
Son Goku	"An elderly Pan sees him, but he quickly departs. Goku has appeared in various other media including an unofficial Taiwanese live-action film and an unofficial Korean live-action film. He was portrayed by Justin Chatwin in the 2009 20th Century Fox feature Dragonball Evolution. Goku has appeared in almost every Dragon Ball licensed video game, including crossover games such as Jump Super Stars, Jump Ultimate Stars and Battle Stadium D.O.N."	"ref, title, cite"
Son Goku	"In 1992, Goku was featured in the interactive game Dragon Ball Z: Get Together!"	"1992, goku, featured"
Son Goku	"Goku World,{{Cite video game"	"goku, world, ref"
Son Goku	Goku World script-	"goku, world, script"
Son Goku	‘??‡?§?Ÿ??Ÿ¬?Ÿ®?Ÿ?	"‘??‡?§?Ÿ??Ÿ¬?Ÿ®?Ÿ?, developer, toei"
Son Goku	"In December 2007, Goku made a guest appearance in avatar form in the MMORPG Second Life for a Jump Festa promotion titled Jumpland@Second Life. Goku appears in the [[Dr. SlumpDr."	"second, life, 2007"
Son Goku	"Slump and Arale-chan]] video game for the Nintendo DS. Goku has been the subject of, and is mentioned in, various songs."	"slump, arale, chan"
Son Goku	"""Son Goku Song"" and ""Gok® no Gokigen JŽnŽ®"" feature Goku as a child singing about himself."	"ref, goku, son"
Son Goku	"During his adult years, the song ""Aitsu wa Son Gok®"" by Hironobu Kageyama, where Kageyama praises everything about Goku, and the duet ""Ore-tachi no Energy"" feature words spoken by the character."	"ref, song, aitsu"
Son Goku	"For the release of the single of the Dragonball Evolution international theme song ""Rule/Sparkle"", Toriyama supplied CD artwork of singer Ayumi Hamasaki dressed as Goku. Goku has been used in Japanese public service announcements aimed at children."	"goku, dragonball, toriyama"
Son Goku	"In June 1988, Goku and other Dragon Ball characters were featured in two PSA short films."	"june, 1988, goku"
Son Goku	"The first, in which Goku is taught the importance of obeying traffic safety by others, is entitled Goku's Traffic Safety}}. The second is called Goku's Fire Fighting Regiment}}, in which he teaches two children the importance of fire safety. Goku has made guest appearances in various Japanese television shows and manga."	"goku, safety, ref"
Son Goku	"In 2005, Goku appeared in the Toriyama parody manga Neko Majin Z where he is the sensei of the main character Z. On September 15, 2006, in celebration of the 30th anniversary of Kochira Katsushika-ku Kameari Ken-mae Hashutsujo, the special manga Super Kochikame}} was released."	"web, url, shueisha"
